platform,ym_str,gmv,d_gmv,impression,ctr,cvr,arpu,contrib_impression,contrib_ctr,contrib_cvr,contrib_arpu
douyin,2025-02,135785.53,-0.17430568725751705,72,0.5833333333333334,0.6666666666666666,2561.991132075472,-0.7461209688244949,-1.4882568813160628,-0.0917947176491288,-0.38472730270037553
douyin,2025-03,141533.06,0.04145667367797046,72,0.9027777777777778,0.5538461538461539,2440.225172413793,0.0,10.534314812727844,-4.47221657896503,-1.174585874751517
douyin,2025-04,120286.61,-0.1626560176546814,88,0.7954545454545454,0.8,2405.7322,1.2337120898175147,-0.7781004670673908,2.2607511571197865,-0.08752220017234012
douyin,2025-05,180590.88,0.4063568296538236,75,0.6933333333333334,0.6923076923076923,2655.748235294118,-0.39337028266037083,-0.33813341501627847,-0.3557986928244243,0.24331356751181576
douyin,2025-06,105119.47,-0.541136628502267,80,0.6375,0.803921568627451,2627.98675,0.11926474339058848,-0.15514863081259925,0.27621714412310067,-0.019419083622523224
douyin,2025-07,132135.99,0.22873410667251903,80,0.65,0.75,2541.0767307692304,0.0,0.08489370535764817,-0.30353368564822064,-0.14702729857039157
douyin,2025-08,123536.96,-0.06729123698879924,85,0.6,0.6862745098039216,2573.686666666667,0.9009289252109685,-1.1894967495821152,-1.3195700176816691,0.1894967495821003
douyin,2025-09,179095.2,0.3713771254871219,83,0.6987951807228916,0.6379310344827587,2387.936,-0.06411447302384832,0.41043999765973166,-0.19669366165584087,-0.2017086460105502
douyin,2025-10,157045.78,-0.13138015283729843,70,0.8285714285714286,0.5344827586206896,2804.3889285714286,-1.2965837081815175,1.296583708181518,-1.3467080402790357,1.2235963080583716
douyin,2025-11,85849.97,-0.6039361173034941,79,0.7848101265822784,0.6129032258064516,2044.046904761905,0.20027384842903875,-0.08984598596497365,0.22669215637217413,-0.5236547969075765
douyin,2025-12,171524.3,0.6921237096341635,89,0.6853932584269663,0.6557377049180327,2598.85303030303,0.17220695607742978,-0.1957006186198895,0.09760367159656722,0.3469590516094813
douyin,2026-01,150307.37,-0.13204261671132933,77,0.6623376623376623,0.5490196078431373,2732.8612727272725,-1.0968500283138432,-0.25913818146557255,-1.3452226024729053,0.3807781255391519
douyin,2026-02,122355.03,-0.2057554302107416,91,0.6703296703296703,0.8032786885245902,2447.1005999999998,0.811906079426741,0.05829322110009132,1.8496112403772142,-0.5367792737877932
douyin,2026-03,100857.23,-0.19322094814858737,77,0.7792207792207793,0.6,2192.5484782608696,-0.8645754317213092,0.7790293141311048,-1.5100436081026403,-0.5684649633593006
douyin,2026-04,130732.37,0.2594463039173238,69,0.6956521739130435,0.7083333333333334,2614.6474,-0.4228193487442455,-0.4372566976091363,0.6397668225297005,0.6786170869266993
douyin,2026-05,95246.31,-0.3166859832786315,76,0.6973684210526315,0.4716981132075472,2506.4818421052632,0.3051187636683486,0.007780789442111771,-1.283844640621407,-0.13341019119150396
douyin,2026-06,157374.52,0.5021621692212346,87,0.7241379310344828,0.47619047619047616,2314.331176470588,0.2691855074982749,0.07501169299466506,0.0188758622921428,-0.15883190952472312
douyin,2026-07,119839.65,-0.27247384311624856,73,0.7534246575342466,0.4909090909090909,2396.7929999999997,-0.6439101658331994,0.14550804544646054,0.11172090925530827,0.1284925416373785
douyin,2026-08,155409.22,0.25990716772898104,87,0.6896551724137931,0.6166666666666667,2466.813015873016,0.6750436282278386,-0.34026495417310326,0.8775043475833878,0.11079127604368881
douyin,2026-09,125353.94,-0.2149205108321226,73,0.7123287671232876,0.6346153846153846,2457.920392156863,-0.8163421761231442,0.15051068760387645,0.13349350581685304,-0.016803501680382315
douyin,2026-10,170535.63999999998,0.30780305103668226,76,0.7105263157894737,0.5370370370370371,2842.2606666666666,0.13084307969754494,-0.008231143734799946,-0.5423989752556307,0.47200351344663527
douyin,2026-11,147750.36,-0.14342021430597462,80,0.6375,0.6078431372549019,2462.506,0.3576434091649057,-0.7561814682282295,0.8635448561971734,-1.0000000000000062
douyin,2026-12,160437.9,0.08238285897949105,79,0.7088607594936709,0.8214285714285714,2719.286440677966,-0.1526868861153648,1.2879480213729673,3.6552280137314757,1.20401232155061
jd,2025-02,135308.04,0.018941674482462645,65,0.7846153846153846,0.8823529411764706,2505.7044444444446,6.015532547278976,-2.8149379075302714,-10.833564414673818,6.562365447435762
jd,2025-03,127449.03,-0.05983743694917543,80,0.6875,0.8545454545454545,2655.188125,3.4700577993440564,-2.208179678256091,-0.5351572895009771,0.9683837019360652
jd,2025-04,162318.88,0.2418462755776538,68,0.75,0.5882352941176471,2618.046451612903,-0.671992690851224,0.3597796855949164,-1.5441323900803683,-0.058248151748046914
