city,ym_str,gmv,d_gmv,impression,ctr,cvr,arpu,contrib_impression,contrib_ctr,contrib_cvr,contrib_arpu
上海,2025-02,38819.63,-0.1641667238996991,17,0.8823529411764706,0.8666666666666667,2587.9753333333333,0.7624148181849385,3.8800610377171463,-5.514155817841896,-0.23758518181506416
上海,2025-03,35075.85,-0.10141318704630287,21,0.9523809523809523,0.55,2922.9874999999997,2.0836451335537665,0.7530872562924573,-4.483994343924181,1.2003405850200404
上海,2025-04,42888.01,0.20107944021102497,22,0.9545454545454546,0.47619047619047616,2144.4005,0.23135142800314207,0.011289809302019178,-0.716633902613461,-1.5404169776377843
上海,2025-05,48528.7,0.1235630758135784,24,0.5416666666666666,0.6153846153846154,2426.435,0.7041859100440746,-4.5853864799087,2.0752925358911907,0.9999999999999928
上海,2025-06,57484.94,0.1693676249503735,18,0.7777777777777778,0.9285714285714286,2874.2470000000003,-1.6985659008684517,2.1361227962635194,2.4290347328689497,1.0
上海,2025-07,23228.54,-0.9061413054106637,30,0.8,0.5833333333333334,2111.685454545455,0.5637372678144106,0.03108883437769045,-0.5130419789971691,-0.3402386612486663
上海,2025-08,37651.3,0.4829857871583112,19,0.7894736842105263,0.8,2510.086666666667,-0.9456973986400157,-0.02742363668287244,0.653959097382193,0.3578383949377426
上海,2025-09,31796.36,-0.16901566437660165,32,0.53125,0.7647058823529411,1870.374117647059,3.084311300707191,-2.3437696271548685,-0.26696007998366417,-1.7405416735523243
上海,2025-10,49436.130000000005,0.4413297155609648,22,0.6363636363636364,1.0,3295.742,-0.8490102438834095,0.4090760912642738,0.6078538950265219,1.2836046124719098
上海,2025-11,43027.07,-0.1388520808833018,14,1.2142857142857142,0.35294117647058826,2048.908095238095,-3.255155564596316,4.653449441114705,-7.500455651820231,-3.4232423056302697
上海,2025-12,39307.15,-0.09042301633382444,11,0.8181818181818182,0.8888888888888888,2807.6535714285715,-2.667042823771369,-4.366440381124691,10.214996984415581,3.4840918224986663
