global_product_id,product_name,category,current_period,previous_period,gmv_delta,contribution_pct
P-TAOBAO-808207,Apple 食品饮料 46,电子产品,10161.75,108.74,10053.01,0.06089927168711291
P-DOUYIN-630180,耐克 图书文具 45,家居用品,9127.29,1669.88,7457.410000000001,0.04517560786990093
P-TAOBAO-259150,格力 食品饮料 49,电子产品,7982.47,647.5,7334.97,0.04443388903888712
P-JD-917185,耐克 运动户外 6,运动户外,8423.65,1143.2,7280.45,0.044103616981823475
P-TAOBAO-171982,小米 电子产品 88,运动户外,9863.0,2637.6000000000004,7225.4,0.04377013428297252
P-TAOBAO-738080,海尔 电子产品 21,母婴用品,6972.42,0.0,6972.42,0.042237628321931425
P-JD-481266,海尔 服装鞋帽 96,图书文具,6834.64,0.0,6834.64,0.04140298261352664
P-DOUYIN-640735,格力 电子产品 14,家居用品,7379.82,619.62,6760.2,0.04095203888777796
P-JD-358638,Apple 家居用品 75,图书文具,7420.49,752.99,6667.5,0.04039047946573467
P-JD-626828,华为 美妆个护 24,运动户外,6604.68,0.0,6604.68,0.040009927546718935
P-DOUYIN-924277,ZARA 家居用品 69,服装鞋帽,7626.35,1042.74,6583.610000000001,0.03988228939113693
P-TAOBAO-854444,小米 家居用品 48,电子产品,7289.799999999999,752.02,6537.779999999999,0.03960465974375565
P-JD-999676,三星 母婴用品 7,电子产品,8612.53,2114.25,6498.280000000001,0.03936537606338123
P-TAOBAO-460726,优衣库 家居用品 62,食品饮料,7142.57,813.66,6328.91,0.03833936398882382
P-JD-810932,三星 母婴用品 95,服装鞋帽,7391.41,1115.84,6275.57,0.038016240153097944
P-TAOBAO-640749,优衣库 电子产品 76,家居用品,7374.56,1195.28,6179.280000000001,0.03743293317630671
P-TAOBAO-278226,海尔 服装鞋帽 82,服装鞋帽,6198.17,127.04,6071.13,0.036777780517256206
P-TAOBAO-682434,ZARA 食品饮料 39,运动户外,7999.88,1961.04,6038.84,0.036582173680818474
P-TAOBAO-700372,格力 运动户外 88,家居用品,7219.67,1210.72,6008.95,0.036401105599644
P-DOUYIN-696100,海尔 电子产品 71,食品饮料,9392.64,3445.99,5946.65,0.03602370374426863
P-TAOBAO-550255,格力 运动户外 70,家居用品,8451.29,2604.79,5846.500000000001,0.03541701360276233
P-TAOBAO-529078,ZARA 家居用品 54,运动户外,7437.31,1599.5,5837.81,0.035364371193079946
P-DOUYIN-130960,耐克 电子产品 41,图书文具,5816.9400000000005,0.0,5816.9400000000005,0.03523794460043655
P-TAOBAO-974437,阿迪达斯 家居用品 22,运动户外,7917.73,2131.88,5785.849999999999,0.03504960714163044
P-JD-355447,Apple 电子产品 27,图书文具,5763.83,0.0,5763.83,0.03491621406209006
P-TAOBAO-144358,优衣库 母婴用品 85,母婴用品,7113.86,1360.23,5753.629999999999,0.03485442435222122
P-DOUYIN-286015,三星 家居用品 45,家居用品,6695.75,964.93,5730.82,0.03471624559907335
P-JD-212086,格力 电子产品 67,图书文具,5716.31,0.0,5716.31,0.03462834670787759
P-DOUYIN-649883,海尔 母婴用品 89,图书文具,5632.26,0.0,5632.26,0.034119187382928955
P-JD-532014,阿迪达斯 食品饮料 74,美妆个护,6137.9800000000005,585.93,5552.05,0.03363329006640153
P-DOUYIN-497715,三星 运动户外 39,食品饮料,5889.67,549.24,5340.43,0.032351335321063886
P-DOUYIN-685591,Apple 母婴用品 62,运动户外,7467.17,2170.7799999999997,5296.39,0.032084549161983125
P-TAOBAO-840530,小米 美妆个护 100,食品饮料,5262.84,0.0,5262.84,0.031881309479032185
P-JD-470525,小米 运动户外 82,母婴用品,6001.75,750.05,5251.7,0.0318138254233519
P-TAOBAO-476488,优衣库 母婴用品 47,图书文具,7098.26,1890.0,5208.26,0.03155067395308696
P-TAOBAO-493263,海尔 图书文具 70,母婴用品,5162.0,0.0,5162.0,0.03127043944538768
P-TAOBAO-515422,阿迪达斯 运动户外 3,服装鞋帽,6698.78,1540.94,5157.84,0.03124523893626471
P-TAOBAO-273216,海尔 美妆个护 54,服装鞋帽,6906.62,1776.1899999999998,5130.43,0.031079194235528934
P-TAOBAO-739760,ZARA 电子产品 14,美妆个护,5037.52,0.0,5037.52,0.030516362672400113
P-JD-140580,Apple 运动户外 16,服装鞋帽,5013.8099999999995,0.0,5013.8099999999995,0.030372731886028518
P-DOUYIN-486378,ZARA 母婴用品 56,运动户外,5003.93,0.0,5003.93,0.030312880676861453
P-TAOBAO-759538,优衣库 食品饮料 44,运动户外,5476.72,492.72,4984.0,0.03019214843002949
P-DOUYIN-445170,耐克 电子产品 59,母婴用品,6610.610000000001,1665.25,4945.360000000001,0.02995807447029106
P-DOUYIN-814217,海尔 家居用品 25,家居用品,4942.41,0.0,4942.41,0.02994020391694664
P-TAOBAO-402068,格力 食品饮料 6,电子产品,6600.76,1662.12,4938.64,0.029917365955553943
P-DOUYIN-339790,Apple 服装鞋帽 50,运动户外,4877.36,0.0,4877.36,0.029546143071165452
P-JD-112053,Apple 图书文具 28,食品饮料,6243.36,1428.41,4814.95,0.029168074856173853
P-TAOBAO-447652,小米 图书文具 66,美妆个护,5033.15,330.26,4702.889999999999,0.02848923614167363
P-JD-866415,阿迪达斯 美妆个护 9,美妆个护,4959.24,275.77,4683.469999999999,0.02837159338033511
P-DOUYIN-219089,华为 服装鞋帽 12,运动户外,4631.91,0.0,4631.91,0.028059252454762817
P-TAOBAO-902642,耐克 母婴用品 8,母婴用品,5597.47,1080.29,4517.18,0.027364239375032226
P-JD-322765,格力 美妆个护 73,服装鞋帽,4479.12,0.0,4479.12,0.027133678947815747
P-TAOBAO-718510,三星 运动户外 72,服装鞋帽,4662.29,228.99,4433.3,0.02685610987858141
P-DOUYIN-856212,海尔 母婴用品 15,家居用品,4361.67,0.0,4361.67,0.026422188612120128
P-JD-680516,ZARA 食品饮料 90,电子产品,5280.98,929.03,4351.95,0.02636330665330394
P-DOUYIN-566636,格力 电子产品 17,服装鞋帽,4762.59,416.07,4346.52,0.026330412719520826
P-JD-866706,耐克 家居用品 64,图书文具,4316.84,0.0,4316.84,0.02615061677943188
P-DOUYIN-497562,优衣库 家居用品 91,食品饮料,4299.84,0.0,4299.84,0.026047633929650482
P-TAOBAO-273069,耐克 服装鞋帽 70,母婴用品,4288.09,0.0,4288.09,0.025976454607007454
P-TAOBAO-683850,小米 美妆个护 59,美妆个护,4651.34,478.87,4172.47,0.02527605007220007
P-TAOBAO-630253,阿迪达斯 电子产品 88,运动户外,4166.48,0.0,4166.48,0.025239763762188856
P-DOUYIN-810993,小米 美妆个护 81,图书文具,4287.67,127.26,4160.41,0.025202992827002203
P-DOUYIN-900687,小米 美妆个护 96,母婴用品,4322.53,167.89,4154.639999999999,0.025168039236223454
P-DOUYIN-833561,华为 美妆个护 93,美妆个护,4210.68,60.43,4150.25,0.025141445429721087
P-JD-751148,耐克 食品饮料 84,美妆个护,4766.79,616.58,4150.21,0.025141203117133363
P-JD-735457,华为 母婴用品 83,服装鞋帽,4141.89,0.0,4141.89,0.02509080209888741
P-JD-809484,格力 服装鞋帽 59,服装鞋帽,6555.77,2447.05,4108.72,0.02488986438551982
P-TAOBAO-415530,小米 服装鞋帽 96,服装鞋帽,6616.18,2533.05,4083.13,0.024734844907525342
P-TAOBAO-970483,耐克 运动户外 49,服装鞋帽,5797.45,1719.26,4078.1899999999996,0.024704919302941806
P-DOUYIN-252271,阿迪达斯 母婴用品 73,美妆个护,4063.23,0.0,4063.23,0.024614294395134174
P-TAOBAO-570548,格力 美妆个护 49,美妆个护,4055.13,0.0,4055.13,0.024565226096120683
P-TAOBAO-242978,耐克 电子产品 98,食品饮料,4050.8,0.0,4050.8,0.024538995758499892
P-TAOBAO-315658,优衣库 母婴用品 40,美妆个护,4142.23,93.14,4049.0899999999997,0.02452863689537482
P-DOUYIN-532962,耐克 美妆个护 75,运动户外,4014.2000000000003,0.0,4014.2000000000003,0.02431727974073523
P-JD-206716,阿迪达斯 食品饮料 95,家居用品,4555.88,557.33,3998.55,0.02422247494078941
P-TAOBAO-900035,阿迪达斯 运动户外 45,食品饮料,5825.57,1864.44,3961.1299999999997,0.023995791514976467
P-JD-110804,格力 美妆个护 22,母婴用品,3953.31,0.0,3953.31,0.023948419404077024
P-DOUYIN-656372,小米 家居用品 10,美妆个护,3945.2,0.0,3945.2,0.0238992905269166
P-DOUYIN-162785,阿迪达斯 运动户外 16,图书文具,3924.2,0.0,3924.2,0.023772076418363104
P-TAOBAO-283822,Apple 运动户外 42,运动户外,4764.77,844.45,3920.3200000000006,0.02374857209735418
P-TAOBAO-224833,耐克 母婴用品 48,服装鞋帽,4483.62,565.16,3918.46,0.023737304562025153
P-JD-587975,耐克 母婴用品 80,家居用品,4034.5200000000004,137.67,3896.8500000000004,0.023606395186508915
P-JD-177405,三星 美妆个护 33,电子产品,3889.39,0.0,3889.39,0.023561203888898954
P-TAOBAO-970116,Apple 家居用品 30,服装鞋帽,3882.04,0.0,3882.04,0.023516678950905232
P-TAOBAO-407378,三星 食品饮料 8,运动户外,3930.88,63.41,3867.4700000000003,0.02342841659082788
P-TAOBAO-889313,耐克 图书文具 30,图书文具,6598.95,2731.86,3867.0899999999997,0.02342611462124453
P-TAOBAO-344509,阿迪达斯 食品饮料 30,食品饮料,7020.68,3157.92,3862.76,0.02339988428362374
P-JD-293071,ZARA 母婴用品 22,服装鞋帽,5059.33,1220.64,3838.6899999999996,0.023254072683962658
P-TAOBAO-527470,格力 电子产品 58,服装鞋帽,5830.16,1997.9,3832.2599999999998,0.023215120935486517
P-JD-381264,耐克 食品饮料 62,母婴用品,3828.99,0.0,3828.99,0.02319531188144033
P-JD-803550,海尔 图书文具 72,运动户外,3828.05,0.0,3828.05,0.02318961753562889
P-TAOBAO-531824,阿迪达斯 家居用品 96,家居用品,3909.59,100.25,3809.34,0.023076275822722418
P-DOUYIN-313746,三星 家居用品 72,食品饮料,4076.75,303.96,3772.79,0.022854862695692407
P-JD-981211,三星 图书文具 25,图书文具,3770.9300000000003,0.0,3770.9300000000003,0.022843595160363384
P-JD-332951,华为 食品饮料 57,食品饮料,3764.6099999999997,0.0,3764.6099999999997,0.02280530977150347
P-DOUYIN-588936,三星 图书文具 45,服装鞋帽,3761.48,0.0,3761.48,0.022786348811514312
P-JD-638469,三星 图书文具 63,电子产品,4850.42,1128.37,3722.05,0.022547489178168394
P-DOUYIN-195892,华为 家居用品 59,电子产品,4192.54,506.02,3686.52,0.022332255022125262
P-JD-826593,阿迪达斯 美妆个护 7,服装鞋帽,3685.27,0.0,3685.27,0.022324682753758984
P-TAOBAO-272554,阿迪达斯 图书文具 76,电子产品,3681.42,0.0,3681.42,0.022301360167190844
P-TAOBAO-498329,三星 美妆个护 37,美妆个护,3893.31,212.41,3680.9,0.022298210103550473
P-DOUYIN-974411,Apple 电子产品 92,图书文具,3661.04,0.0,3661.04,0.02217790190374702
P-TAOBAO-683470,优衣库 运动户外 34,美妆个护,3648.51,0.0,3648.51,0.02210199748564344
P-JD-635945,三星 服装鞋帽 56,家居用品,4936.66,1309.51,3627.1499999999996,0.02197260256380045
P-JD-545256,ZARA 电子产品 13,家居用品,4168.93,572.17,3596.76,0.02178850557527947
P-DOUYIN-332418,华为 母婴用品 51,图书文具,3590.79,0.0,3590.79,0.021752340421562117
P-TAOBAO-450675,阿迪达斯 运动户外 6,服装鞋帽,5467.31,1905.5700000000002,3561.7400000000002,0.021576360904729783
P-JD-808032,格力 电子产品 47,电子产品,4158.82,618.12,3540.7,0.021448904483588566
P-TAOBAO-904460,三星 母婴用品 48,家居用品,3534.39,0.0,3534.39,0.021410679672875587
P-JD-139970,Apple 图书文具 23,服装鞋帽,3531.67,0.0,3531.67,0.021394202416910563
P-DOUYIN-109883,耐克 运动户外 38,运动户外,3847.93,327.0,3520.93,0.02132914148710749
P-TAOBAO-674754,ZARA 图书文具 16,美妆个护,4573.2,1060.12,3513.08,0.021281587641767255
P-TAOBAO-773002,优衣库 服装鞋帽 91,家居用品,4055.86,545.71,3510.15,0.021263838244716695
P-JD-466827,华为 食品饮料 2,母婴用品,3701.57,245.27,3456.3,0.020937624923497378
P-JD-397769,耐克 图书文具 71,电子产品,5509.549999999999,2069.86,3439.689999999999,0.02083700462144625
P-TAOBAO-208734,耐克 图书文具 81,电子产品,4510.95,1094.3400000000001,3416.6099999999997,0.02069719025833127
P-DOUYIN-355030,耐克 图书文具 28,母婴用品,3415.58,0.0,3415.58,0.020690950709197457
P-JD-256777,海尔 美妆个护 9,家居用品,3412.53,0.0,3412.53,0.020672474374383736
P-DOUYIN-834334,优衣库 运动户外 12,运动户外,4268.09,862.5699999999999,3405.5200000000004,0.02063000909338564
P-TAOBAO-876927,小米 食品饮料 66,家居用品,3405.1000000000004,0.0,3405.1000000000004,0.020627464811214573
P-JD-557190,华为 家居用品 86,食品饮料,3578.17,188.18,3389.9900000000002,0.020535931231202984
P-TAOBAO-227301,格力 食品饮料 97,图书文具,4575.8,1220.8000000000002,3355.0,0.02032396829509409
