category,ym_str,gmv,d_gmv,impression,ctr,cvr,arpu,contrib_impression,contrib_ctr,contrib_cvr,contrib_arpu
图书文具,2025-02,52861.54,-0.11518129363785512,35,0.4,0.9285714285714286,1057.2308,1.0536507550075056,-2.7393065443183042,-1.6090599559218277,-0.8280742760326882
图书文具,2025-03,56407.58,0.06492750432452787,24,0.75,0.8333333333333334,989.6066666666667,-5.811007754982138,9.681700628448498,-1.6666832610621773,-1.0180702118394325
图书文具,2025-04,78109.05,0.325502380576431,28,0.6428571428571429,0.8888888888888888,1239.8261904761905,0.4735777340684058,-0.4735777340684065,0.1982735764429128,0.6925261855850516
图书文具,2025-05,56769.31,-0.3191100644111575,32,0.9375,0.5666666666666667,1013.7376785714285,0.41844932992296396,1.1823325968664624,-1.4108016391783058,-0.6309015327557161
图书文具,2025-06,60336.33,0.060938547070644944,22,1.0,0.5,1138.421320754717,-6.148709929152647,1.0590754824323731,-2.0539239770338904,1.903529536390133
图书文具,2025-07,45103.24,-0.2909803255895582,31,0.6451612903225806,0.6,1048.912558139535,1.1785839830647873,-1.5061325195894344,0.6265769220807317,-0.2814229022704004
图书文具,2025-08,42390.88,-0.06202083952082127,30,0.8,0.625,1033.9239024390242,-0.5286904059398101,3.4683725870032713,0.6581980320751806,-0.2320637811865563
图书文具,2025-09,47313.83,0.10986939700471154,28,1.0714285714285714,0.5,876.182037037037,-0.6279534917625245,2.658942624292672,-2.0309891325301495,-1.5067215017859517
图书文具,2025-10,84250.46,0.5769913873913239,33,0.6666666666666666,0.9545454545454546,1427.973898305085,0.28475823882591805,-0.8222964674398712,1.1206877243845246,0.8465256167136045
图书文具,2025-11,38863.99,-0.7737259142059703,34,0.7058823529411765,0.5833333333333334,809.6664583333333,0.03858338282532218,0.07387423994788528,-0.6364999233652319,-0.7333210259480828
图书文具,2025-12,61373.96,0.4569175260086844,27,0.8888888888888888,0.4166666666666667,1095.9635714285714,-0.5045191867020898,0.5045191867020893,-0.7363959959260082,0.6626290937583141
图书文具,2026-01,69606.98,0.12587920870732106,35,0.6285714285714286,0.5454545454545454,1054.651212121212,2.061589027688187,-2.752818166186651,2.1396141312724986,-0.30524375692011935
图书文具,2026-02,42318.26,-0.49764617827537805,31,0.6774193548387096,0.8095238095238095,961.7786363636365,-0.24386976591451057,0.1503896636536823,0.7933884095551658,-0.18523415669878615
图书文具,2026-03,63198.48,0.4010615788378029,24,0.7083333333333334,0.6470588235294118,1373.88,-0.6381398459529452,0.11126540866693382,-0.5585401080795929,0.8891647444772772
图书文具,2026-04,73201.92,0.14694139990079513,31,0.7741935483870968,0.5416666666666666,1143.78,1.7417376880170556,0.6050514845683579,-1.209913623720699,-1.2474380065354842
图书文具,2026-05,43597.77,-0.518215647873518,22,0.6818181818181818,0.7333333333333333,1038.0421428571428,-0.6617799993768877,-0.24518533672282455,0.5846013060889099,-0.18718497443151488
图书文具,2026-06,67960.91,0.44392668468567287,27,0.5555555555555556,0.8666666666666667,1078.7446031746033,0.4613248532041276,-0.4613248532041277,0.3763100764745665,0.08663947877956985
