behavior_id,global_user_id,global_product_id,platform,session_id,behavior_type,behavior_time,duration_seconds,page_url,referrer,device_type,app_version,latitude,longitude,extra_data
69101,U-TAOBAO-791198,P-TAOBAO-501245,taobao,SES-TAOBAO-64392786,分享,2025-05-10 10:46:05,70,/product/P-TAOBAO-501245,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69102,U-TAOBAO-870811,P-TAOBAO-450675,taobao,SES-TAOBAO-43140347,浏览,2025-06-16 12:04:24,86,/product/P-TAOBAO-450675,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69103,U-TAOBAO-675882,P-TAOBAO-331534,taobao,SES-TAOBAO-73112979,浏览,2026-03-02 15:18:09,80,/product/P-TAOBAO-331534,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69104,U-TAOBAO-791198,P-TAOBAO-448846,taobao,SES-TAOBAO-95139009,加购,2026-06-20 01:36:54,284,/product/P-TAOBAO-448846,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69105,U-TAOBAO-675882,P-TAOBAO-510095,taobao,SES-TAOBAO-75508953,下单,2026-04-03 16:20:27,139,/product/P-TAOBAO-510095,,mobile,,0.000000,0.000000,{}
69106,U-TAOBAO-248784,P-TAOBAO-979120,taobao,SES-TAOBAO-12122795,下单,2025-06-24 16:03:35,219,/product/P-TAOBAO-979120,https://m.jd.com,mobile,,0.000000,0.000000,{}
69107,U-TAOBAO-997375,P-TAOBAO-646540,taobao,SES-TAOBAO-97422427,分享,2026-05-18 03:46:38,95,/product/P-TAOBAO-646540,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69108,U-TAOBAO-791198,P-TAOBAO-415994,taobao,SES-TAOBAO-79538628,支付,2025-07-17 01:10:12,209,/product/P-TAOBAO-415994,https://m.jd.com,mobile,,0.000000,0.000000,{}
69109,U-TAOBAO-654003,P-TAOBAO-325250,taobao,SES-TAOBAO-99666308,收藏,2025-06-03 22:33:25,185,/product/P-TAOBAO-325250,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69110,U-TAOBAO-796684,P-TAOBAO-220347,taobao,SES-TAOBAO-75587327,分享,2025-07-12 12:56:50,293,/product/P-TAOBAO-220347,,mobile,,0.000000,0.000000,{}
69111,U-TAOBAO-110748,P-TAOBAO-950651,taobao,SES-TAOBAO-43667535,下单,2026-05-17 11:58:06,52,/product/P-TAOBAO-950651,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69112,U-TAOBAO-796684,P-TAOBAO-129223,taobao,SES-TAOBAO-71143312,收藏,2025-12-12 07:14:00,191,/product/P-TAOBAO-129223,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69113,U-TAOBAO-118315,P-TAOBAO-403719,taobao,SES-TAOBAO-20575546,分享,2025-09-18 15:03:34,15,/product/P-TAOBAO-403719,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69114,U-TAOBAO-654003,P-TAOBAO-259150,taobao,SES-TAOBAO-66848894,收藏,2025-05-26 00:00:16,35,/product/P-TAOBAO-259150,https://m.jd.com,mobile,,0.000000,0.000000,{}
69115,U-TAOBAO-675882,P-TAOBAO-404378,taobao,SES-TAOBAO-11834680,评价,2025-01-25 05:39:28,237,/product/P-TAOBAO-404378,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69116,U-TAOBAO-158070,P-TAOBAO-741406,taobao,SES-TAOBAO-68135460,浏览,2026-02-18 16:11:03,285,/product/P-TAOBAO-741406,https://m.taobao.com,mobile,,0.000000,0.000000,{}
69117,U-TAOBAO-791198,P-TAOBAO-433412,taobao,SES-TAOBAO-69681174,评价,2025-09-22 22:31:46,140,/product/P-TAOBAO-433412,https://m.taobao.com,mobile,,0.000000,0.000000,{}
